sensitive_energy,background_energy,total_energy,sensitive_pixels,background_pixels,sensitive_density,background_density,dilution_ratio,waste_percentage,image_id
186.1150360107422,1644.8887939453125,1831.0037841796875,11289.0,101607.0,0.01648640588276883,0.01618873496850759,8.838022059442808,89.83535742244572,01-Illegal_Activitiy/87
153.30458068847656,1507.8299560546875,1661.134521484375,11289.0,101607.0,0.013579996517702255,0.01483982359536783,9.83551795507224,90.77109268057515,01-Illegal_Activitiy/89
174.107177734375,1524.875732421875,1698.98291015625,11289.0,101607.0,0.015422728118896337,0.015007585426414765,8.758258862025235,89.75227021398715,01-Illegal_Activitiy/93
183.08103942871094,1605.37890625,1788.4599609375,11289.0,101607.0,0.01621764898826723,0.015799884911963172,8.768679220807156,89.76320081549345,01-Illegal_Activitiy/96
160.23529052734375,1601.9423828125,1762.177734375,11290.0,101606.0,0.01419267409452629,0.01576621836124188,9.997438001581543,90.90696991308756,02-HateSpeech/1
186.4888916015625,1629.80517578125,1816.2939453125,11289.0,101607.0,0.01651952268592411,0.016040284387700547,8.739422287821675,89.73245657612226,02-HateSpeech/100
159.0548858642578,1522.337158203125,1681.39208984375,11289.0,101607.0,0.014089368931182292,0.014982601181050274,9.571143632812522,90.54028310169701,02-HateSpeech/102
168.228759765625,1535.005126953125,1703.23388671875,11289.0,101607.0,0.014902007242933472,0.015107277322949935,9.12451074953199,90.12297952228235,02-HateSpeech/106
184.1228790283203,1633.616943359375,1817.73974609375,11289.0,101607.0,0.01630993702083065,0.016077799200441056,8.872427760698772,89.87078303486325,02-HateSpeech/112
158.5333251953125,1488.4718017578125,1647.005126953125,11289.0,101607.0,0.014043168145555148,0.014649303707005089,9.389015210714405,90.3744485909629,02-HateSpeech/113
196.0522918701172,1676.1607666015625,1872.2130126953125,11289.0,101607.0,0.017366665946491586,0.01649650877007881,8.549559663533582,89.52831516642125,02-HateSpeech/114
202.9084930419922,1765.3619384765625,1968.2705078125,11289.0,101607.0,0.017974000623776458,0.017374412574688643,8.700286084250873,89.69102221775323,02-HateSpeech/119
157.0640411376953,1488.4796142578125,1645.543701171875,11289.0,101607.0,0.01391301631123715,0.014649380596392632,9.476896197125855,90.45518591750225,02-HateSpeech/12
