image_id,threshold_pct,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14,triple_iou
01-Illegal_Activitiy/45,30.0,0.21724441647529602,0.13021424412727356,0.14841815829277039,0.041237927973270416
01-Illegal_Activitiy/46,5.0,0.03531138226389885,0.06601189821958542,0.014378145337104797,0.0
01-Illegal_Activitiy/46,10.0,0.053717274218797684,0.15041272342205048,0.02739351987838745,0.0
01-Illegal_Activitiy/46,15.0,0.07856437563896179,0.19556622207164764,0.062158942222595215,0.003467220114544034
01-Illegal_Activitiy/46,20.0,0.09426189959049225,0.21999189257621765,0.08383535593748093,0.008074321784079075
01-Illegal_Activitiy/46,30.0,0.1750134378671646,0.2860451936721802,0.18334759771823883,0.05839186906814575
01-Illegal_Activitiy/48,5.0,0.0010642071720212698,0.0,0.006150280591100454,0.0
01-Illegal_Activitiy/48,10.0,0.043731510639190674,0.03825990855693817,0.028376223519444466,0.0
01-Illegal_Activitiy/48,15.0,0.09449327737092972,0.06758290529251099,0.04495387524366379,0.002455729292705655
01-Illegal_Activitiy/48,20.0,0.12832942605018616,0.11616985499858856,0.06259118020534515,0.005508848465979099
01-Illegal_Activitiy/48,30.0,0.17016203701496124,0.21759450435638428,0.10917159169912338,0.020283784717321396
01-Illegal_Activitiy/49,5.0,0.03778615593910217,0.1128857359290123,0.0,0.0
01-Illegal_Activitiy/49,10.0,0.11910780519247055,0.14574241638183594,0.016431819647550583,0.001662304624915123
01-Illegal_Activitiy/49,15.0,0.14701798558235168,0.15756374597549438,0.03271840140223503,0.0031778626143932343
01-Illegal_Activitiy/49,20.0,0.16941164433956146,0.18893159925937653,0.056574638932943344,0.010963525623083115
01-Illegal_Activitiy/49,30.0,0.20666250586509705,0.2515890598297119,0.11973286420106888,0.031176000833511353
01-Illegal_Activitiy/5,5.0,0.05821692943572998,0.0,0.0,0.0
01-Illegal_Activitiy/5,10.0,0.08898857235908508,0.055836137384176254,0.0026200097054243088,0.0
01-Illegal_Activitiy/5,15.0,0.0963711142539978,0.10358760505914688,0.02826608344912529,0.004554252605885267
01-Illegal_Activitiy/5,20.0,0.10578382760286331,0.14072801172733307,0.062466178089380264,0.012383014895021915
01-Illegal_Activitiy/5,30.0,0.18009024858474731,0.2048809975385666,0.14929501712322235,0.045614130795001984
01-Illegal_Activitiy/51,5.0,0.004359818529337645,0.03950640186667442,0.0,0.0
01-Illegal_Activitiy/51,10.0,0.1048150286078453,0.07817200571298599,0.012012550607323647,0.008643616922199726
01-Illegal_Activitiy/51,15.0,0.1440732330083847,0.12720495462417603,0.021782416850328445,0.014988740906119347
01-Illegal_Activitiy/51,20.0,0.17019952833652496,0.17110995948314667,0.037900205701589584,0.0216298159211874
01-Illegal_Activitiy/51,30.0,0.23817792534828186,0.2539708912372589,0.09175894409418106,0.053818896412849426
01-Illegal_Activitiy/53,5.0,0.0,0.1172918900847435,0.01337642502039671,0.0
01-Illegal_Activitiy/53,10.0,0.019460875540971756,0.25433334708213806,0.022091444581747055,0.0018998029408976436
01-Illegal_Activitiy/53,15.0,0.044696010649204254,0.3844015598297119,0.04049155116081238,0.012424265965819359
01-Illegal_Activitiy/53,20.0,0.07770512253046036,0.46869614720344543,0.07770512253046036,0.03126746043562889
01-Illegal_Activitiy/53,30.0,0.1688092052936554,0.4817342460155487,0.18295493721961975,0.09404254704713821
01-Illegal_Activitiy/55,5.0,0.008577555418014526,0.025063566863536835,0.024319419637322426,0.0
01-Illegal_Activitiy/55,10.0,0.043683260679244995,0.08266998827457428,0.035260673612356186,0.0
01-Illegal_Activitiy/55,15.0,0.07364083081483841,0.09431645274162292,0.036415938287973404,0.00029290493694134057
01-Illegal_Activitiy/55,20.0,0.0885380282998085,0.117440365254879,0.054132916033267975,0.0019785684999078512
01-Illegal_Activitiy/55,30.0,0.14370620250701904,0.17172066867351532,0.11182968318462372,0.014189433306455612
01-Illegal_Activitiy/56,5.0,0.049655940383672714,0.07823096960783005,0.0,0.0
01-Illegal_Activitiy/56,10.0,0.07698912173509598,0.1770409792661667,0.008036431856453419,0.004512791987508535
01-Illegal_Activitiy/56,15.0,0.11075399070978165,0.22808034718036652,0.029078423976898193,0.014568821527063847
01-Illegal_Activitiy/56,20.0,0.13986420631408691,0.27377861738204956,0.057663481682538986,0.024776311591267586
01-Illegal_Activitiy/56,30.0,0.1979343593120575,0.32735005021095276,0.1378464698791504,0.06344190239906311
01-Illegal_Activitiy/57,5.0,0.02655511163175106,0.0,0.018037518486380577,0.0
01-Illegal_Activitiy/57,10.0,0.0560830719769001,0.003555871546268463,0.027113093063235283,0.0
01-Illegal_Activitiy/57,15.0,0.09332730621099472,0.015562685206532478,0.049584727734327316,0.0008945519803091884
01-Illegal_Activitiy/57,20.0,0.14069920778274536,0.04762788489460945,0.0793536975979805,0.007670399732887745
01-Illegal_Activitiy/57,30.0,0.24220140278339386,0.15468275547027588,0.13843929767608643,0.045530833303928375
01-Illegal_Activitiy/60,5.0,0.01978498511016369,0.021908383816480637,0.0,0.0
01-Illegal_Activitiy/60,10.0,0.043538548052310944,0.08376134186983109,0.004716981202363968,0.0
01-Illegal_Activitiy/60,15.0,0.07275664061307907,0.12428628653287888,0.026520777493715286,0.0001594787318026647
