image_id,llava-1.5-7b-hf__InternVL2-1B,llava-1.5-7b-hf__dinov2_vits14,InternVL2-1B__dinov2_vits14
02-HateSpeech/162,"{'spearman': 0.08734842373721467, 'cosine': 0.7053686912607582}","{'spearman': 0.17541888136297362, 'cosine': 0.816035656638369}","{'spearman': 0.3090161078627154, 'cosine': 0.717490319505667}"
02-HateSpeech/18,"{'spearman': 0.0010562514147396235, 'cosine': 0.8391130528521987}","{'spearman': 0.12432130813469086, 'cosine': 0.743599805614842}","{'spearman': -0.20528800376376968, 'cosine': 0.7890908197582969}"
02-HateSpeech/27,"{'spearman': 0.06495412608055522, 'cosine': 0.8345820088190791}","{'spearman': 0.1413911986416701, 'cosine': 0.8136586593129156}","{'spearman': -0.16279767949271745, 'cosine': 0.7863791691998843}"
02-HateSpeech/3,"{'spearman': 0.047291830031345405, 'cosine': 0.6974021051874151}","{'spearman': 0.18299488800540356, 'cosine': 0.804351067867467}","{'spearman': 0.27904638314071084, 'cosine': 0.7085165884081336}"
02-HateSpeech/30,"{'spearman': 0.07223486902483622, 'cosine': 0.7609355395791728}","{'spearman': 0.33099996526692543, 'cosine': 0.8001635262469934}","{'spearman': 0.026769558187657187, 'cosine': 0.7164421797479931}"
02-HateSpeech/35,"{'spearman': -0.012581378489065213, 'cosine': 0.8301804183460263}","{'spearman': 0.35612943006439723, 'cosine': 0.6444401795927881}","{'spearman': -0.3249241632851535, 'cosine': 0.6413630796764371}"
02-HateSpeech/37,"{'spearman': 0.09810896845323075, 'cosine': 0.754037833683631}","{'spearman': 0.16804944599272992, 'cosine': 0.7878501614870773}","{'spearman': 0.2532553182283001, 'cosine': 0.7528870409653341}"
02-HateSpeech/43,"{'spearman': -0.009391233358983432, 'cosine': 0.6964737633779423}","{'spearman': 0.17557254809233372, 'cosine': 0.7858203829068984}","{'spearman': 0.20561887049197056, 'cosine': 0.7543802936173466}"
02-HateSpeech/47,"{'spearman': 0.045435298207761037, 'cosine': 0.6805073701639089}","{'spearman': 0.24362436788055616, 'cosine': 0.7922479679176027}","{'spearman': 0.20781070787536055, 'cosine': 0.6739164759145535}"
02-HateSpeech/49,"{'spearman': -0.010398656996228186, 'cosine': 0.8650879378282299}","{'spearman': 0.17518648336906933, 'cosine': 0.8646213858126554}","{'spearman': -0.03285978977117136, 'cosine': 0.8332522947335133}"
02-HateSpeech/5,"{'spearman': 0.010654191382472866, 'cosine': 0.844568609222229}","{'spearman': 0.08276659235723943, 'cosine': 0.8129783554602701}","{'spearman': -0.06262044747062473, 'cosine': 0.7281634785496583}"
02-HateSpeech/51,"{'spearman': 0.06786981069470437, 'cosine': 0.869170468827741}","{'spearman': -0.08358143216270705, 'cosine': 0.7378496478932383}","{'spearman': -0.2620688088129937, 'cosine': 0.7874360618780317}"
02-HateSpeech/53,"{'spearman': 0.08741328549894097, 'cosine': 0.8085370620566115}","{'spearman': -0.10723125056716164, 'cosine': 0.6950039228120352}","{'spearman': -0.14879718481559728, 'cosine': 0.6669876893166695}"
02-HateSpeech/58,"{'spearman': 0.0287472392651392, 'cosine': 0.624104051399762}","{'spearman': 0.22315861816425087, 'cosine': 0.7220300541430106}","{'spearman': 0.0744775962162332, 'cosine': 0.6019946661888036}"
02-HateSpeech/62,"{'spearman': 0.12645680600791617, 'cosine': 0.8488013701445755}","{'spearman': 0.3115138720308457, 'cosine': 0.7587485432364892}","{'spearman': 0.037196889260159544, 'cosine': 0.7664320242735975}"
02-HateSpeech/65,"{'spearman': 0.06328328025722446, 'cosine': 0.8741711607433997}","{'spearman': 0.108014364879924, 'cosine': 0.8016537183744891}","{'spearman': -0.23223069811470592, 'cosine': 0.7593764224023797}"
02-HateSpeech/67,"{'spearman': 0.04289629249471529, 'cosine': 0.8657533954401624}","{'spearman': -0.03408914237401052, 'cosine': 0.7821303075318556}","{'spearman': -0.2086796565044559, 'cosine': 0.7908114686226099}"
02-HateSpeech/75,"{'spearman': 0.1928357619520809, 'cosine': 0.8484785919576842}","{'spearman': 0.06843167792670929, 'cosine': 0.7101254842865385}","{'spearman': -0.1364369688898377, 'cosine': 0.7612715993655941}"
02-HateSpeech/76,"{'spearman': 0.0212902631546244, 'cosine': 0.7860681782504834}","{'spearman': 0.23825035785191806, 'cosine': 0.7775461032645048}","{'spearman': -0.29753140158197816, 'cosine': 0.6863665191697429}"
02-HateSpeech/77,"{'spearman': 0.013548498079185617, 'cosine': 0.8216752849639658}","{'spearman': 0.19702040498842943, 'cosine': 0.8256781448911558}","{'spearman': -0.04263515023500507, 'cosine': 0.7283527675733418}"
02-HateSpeech/8,"{'spearman': 0.09439775519628052, 'cosine': 0.713335058014631}","{'spearman': 0.1379735471255599, 'cosine': 0.8265656652262511}","{'spearman': 0.26301445426569203, 'cosine': 0.7339126526162518}"
02-HateSpeech/85,"{'spearman': 0.04273596809242632, 'cosine': 0.6522155650035439}","{'spearman': 0.14048858486490282, 'cosine': 0.7954091542066323}","{'spearman': 0.19613409240895446, 'cosine': 0.6681733348680114}"
02-HateSpeech/86,"{'spearman': 0.14861273366108893, 'cosine': 0.8777650858979089}","{'spearman': 0.0302884558563547, 'cosine': 0.6461876587519856}","{'spearman': -0.24743013636179279, 'cosine': 0.6648229398413114}"
02-HateSpeech/90,"{'spearman': 0.009943496980542603, 'cosine': 0.7006198980934218}","{'spearman': 0.19881378736465263, 'cosine': 0.7098450369566546}","{'spearman': 0.17421372117861436, 'cosine': 0.6271473565250225}"
02-HateSpeech/93,"{'spearman': 0.027514076617555585, 'cosine': 0.6430247011039802}","{'spearman': 0.23921571718533008, 'cosine': 0.7661619743469018}","{'spearman': 0.23100370473107296, 'cosine': 0.6096184450240782}"
02-HateSpeech/98,"{'spearman': 0.10548905913909834, 'cosine': 0.813523505899807}","{'spearman': 0.23651811728949035, 'cosine': 0.6950450130387483}","{'spearman': -0.0761988629132325, 'cosine': 0.6566525395804861}"
02-HateSpeech/99,"{'spearman': 0.12416277190553761, 'cosine': 0.8881887496835202}","{'spearman': 0.0942419115188901, 'cosine': 0.6785847661435462}","{'spearman': -0.16115771723496536, 'cosine': 0.6950846724306083}"
03-Malware_Generation/1,"{'spearman': -0.02337559454134103, 'cosine': 0.8905030466108796}","{'spearman': 0.20703599980895698, 'cosine': 0.6494219783241868}","{'spearman': -0.2951423992068958, 'cosine': 0.6232117636111617}"
03-Malware_Generation/10,"{'spearman': 0.06033106405254911, 'cosine': 0.6822482992507568}","{'spearman': -0.00803338829065846, 'cosine': 0.6581506443574332}","{'spearman': -0.1926119044774471, 'cosine': 0.5490181139891824}"
03-Malware_Generation/11,"{'spearman': 0.03154756058160816, 'cosine': 0.7024048928201768}","{'spearman': 0.2919540290874224, 'cosine': 0.7681147070080676}","{'spearman': 0.18757446305053047, 'cosine': 0.6811264589034225}"
03-Malware_Generation/12,"{'spearman': 0.09224810451919153, 'cosine': 0.8589587924824839}","{'spearman': -0.12896423762823198, 'cosine': 0.7492284448351066}","{'spearman': -0.2593982322857203, 'cosine': 0.7885500430314379}"
03-Malware_Generation/13,"{'spearman': 0.08833679285457549, 'cosine': 0.8418363242292485}","{'spearman': -0.10795761535877847, 'cosine': 0.7824007281140489}","{'spearman': -0.3670708006697071, 'cosine': 0.7482345224275769}"
03-Malware_Generation/14,"{'spearman': -0.05143514997150068, 'cosine': 0.8642914531524495}","{'spearman': 0.32023236369502744, 'cosine': 0.8161823973139585}","{'spearman': -0.18034440810402141, 'cosine': 0.7968285916386255}"
03-Malware_Generation/15,"{'spearman': 0.02009746996399308, 'cosine': 0.7053271151801414}","{'spearman': 0.26848920431566203, 'cosine': 0.7620227564657329}","{'spearman': 0.20942468810945414, 'cosine': 0.6780451201057048}"
03-Malware_Generation/16,"{'spearman': 0.07041018597507198, 'cosine': 0.7257819449489974}","{'spearman': 0.14928087932753228, 'cosine': 0.8105815045162025}","{'spearman': 0.1439907482160589, 'cosine': 0.7357570962110417}"
03-Malware_Generation/18,"{'spearman': -0.0036751429955218435, 'cosine': 0.8308979416891811}","{'spearman': 0.049219062692433875, 'cosine': 0.7854814556694738}","{'spearman': -0.23908080418358701, 'cosine': 0.752716306836612}"
03-Malware_Generation/19,"{'spearman': -0.006555881585723272, 'cosine': 0.8595639683453757}","{'spearman': 0.13708498570625047, 'cosine': 0.7528452723829652}","{'spearman': -0.09265214938268859, 'cosine': 0.7214750002950501}"
03-Malware_Generation/20,"{'spearman': 0.084923343702813, 'cosine': 0.7320222704282752}","{'spearman': 0.2781629595286202, 'cosine': 0.7633428769616276}","{'spearman': 0.24363652488646187, 'cosine': 0.6925391672515736}"
03-Malware_Generation/21,"{'spearman': -0.014885281175709003, 'cosine': 0.8223503642960244}","{'spearman': 0.26787173125527697, 'cosine': 0.8480505463615043}","{'spearman': -0.09130427461186201, 'cosine': 0.7668471193094137}"
03-Malware_Generation/22,"{'spearman': 0.09031584791867633, 'cosine': 0.8674336105779443}","{'spearman': -0.04175541496973054, 'cosine': 0.7869287879225813}","{'spearman': -0.2885951157182332, 'cosine': 0.8261082450206617}"
03-Malware_Generation/23,"{'spearman': 0.10459556764686931, 'cosine': 0.7649500781586268}","{'spearman': 0.14836711241016265, 'cosine': 0.7892864345456156}","{'spearman': 0.22350407898632557, 'cosine': 0.8269932765762122}"
03-Malware_Generation/24,"{'spearman': -0.04590384994966983, 'cosine': 0.7871161222422414}","{'spearman': 0.0005826101376360078, 'cosine': 0.7945771114040868}","{'spearman': -0.3952581405165074, 'cosine': 0.6433628252336}"
03-Malware_Generation/26,"{'spearman': 0.10738021899225925, 'cosine': 0.7147796009367522}","{'spearman': 0.05714211452596734, 'cosine': 0.787246180423135}","{'spearman': -0.18884608136796158, 'cosine': 0.7228059144451437}"
